Episode,Total_Reward,Avg_SoC,Epsilon
0,116.0,0.8,1.0
1,95.5,1.0,0.995
2,57.0,1.0,0.99
3,79.5,1.0,0.985
4,100.5,1.0,0.98
5,88.5,1.0,0.975
6,97.0,1.0,0.97
7,117.0,1.0,0.966
8,114.0,1.0,0.961
9,79.5,1.0,0.956
10,94.0,1.0,0.951
11,116.0,1.0,0.946
12,68.0,1.0,0.942
13,119.0,1.0,0.937
14,112.5,1.0,0.932
15,98.0,1.0,0.928
16,117.5,1.0,0.923
17,98.5,1.0,0.918
18,82.5,1.0,0.914
19,110.5,1.0,0.909
20,75.5,1.0,0.905
21,92.0,1.0,0.9
22,114.5,1.0,0.896
23,128.0,1.0,0.891
24,113.0,1.0,0.887
25,142.0,1.0,0.882
26,105.0,1.0,0.878
27,114.5,1.0,0.873
28,122.5,1.0,0.869
29,76.0,1.0,0.865
30,122.5,1.0,0.86
31,113.0,1.0,0.856
32,92.0,1.0,0.852
33,104.0,1.0,0.848
34,135.5,1.0,0.843
35,99.0,1.0,0.839
36,101.5,1.0,0.835
37,125.0,1.0,0.831
38,122.0,1.0,0.827
39,98.0,1.0,0.822
40,91.0,1.0,0.818
41,101.5,1.0,0.814
42,70.5,1.0,0.81
43,122.5,1.0,0.806
44,116.0,1.0,0.802
45,125.0,1.0,0.798
46,128.0,1.0,0.794
47,117.0,1.0,0.79
48,91.5,1.0,0.786
49,97.0,1.0,0.782
50,108.5,1.0,0.778
51,100.5,1.0,0.774
52,93.0,1.0,0.771
53,121.0,1.0,0.767
54,86.0,1.0,0.763
55,84.0,1.0,0.759
56,117.5,1.0,0.755
57,127.5,1.0,0.751
58,96.5,1.0,0.748
59,128.5,1.0,0.744
60,144.5,1.0,0.74
61,91.0,1.0,0.737
62,101.5,1.0,0.733
63,104.5,1.0,0.729
64,87.0,1.0,0.726
65,115.0,1.0,0.722
66,116.5,1.0,0.718
67,116.5,1.0,0.715
68,131.5,1.0,0.711
69,99.5,1.0,0.708
70,113.0,1.0,0.704
71,126.5,1.0,0.701
72,94.5,1.0,0.697
73,130.5,1.0,0.694
74,109.5,1.0,0.69
75,124.0,1.0,0.687
76,108.5,1.0,0.683
77,107.5,1.0,0.68
78,119.0,1.0,0.676
79,111.5,1.0,0.673
80,103.0,1.0,0.67
81,95.0,1.0,0.666
82,112.5,1.0,0.663
83,125.5,1.0,0.66
84,109.0,1.0,0.656
85,92.5,1.0,0.653
86,103.0,1.0,0.65
87,106.5,1.0,0.647
88,109.0,1.0,0.643
89,130.0,1.0,0.64
90,118.5,1.0,0.637
91,119.0,1.0,0.634
92,88.5,1.0,0.631
93,154.5,1.0,0.627
94,157.5,1.0,0.624
95,117.5,1.0,0.621
96,141.5,1.0,0.618
97,109.5,1.0,0.615
98,131.5,1.0,0.612
99,108.0,1.0,0.609
100,142.5,1.0,0.606
101,96.0,1.0,0.603
102,120.0,1.0,0.6
103,144.5,1.0,0.597
104,135.5,1.0,0.594
105,133.0,1.0,0.591
106,93.5,1.0,0.588
107,115.0,1.0,0.585
108,137.0,1.0,0.582
109,101.0,1.0,0.579
110,99.0,1.0,0.576
111,138.5,1.0,0.573
112,103.5,1.0,0.57
113,133.0,1.0,0.568
114,131.0,1.0,0.565
115,143.0,1.0,0.562
116,90.5,1.0,0.559
117,119.5,1.0,0.556
118,126.0,1.0,0.554
119,138.0,1.0,0.551
120,119.0,1.0,0.548
121,122.0,1.0,0.545
122,130.0,1.0,0.543
123,141.5,1.0,0.54
124,114.0,1.0,0.537
125,147.0,1.0,0.534
126,112.0,1.0,0.532
127,115.0,1.0,0.529
128,98.5,1.0,0.526
129,159.0,1.0,0.524
130,137.5,1.0,0.521
131,137.5,1.0,0.519
132,121.0,1.0,0.516
133,144.5,1.0,0.513
134,113.0,1.0,0.511
135,94.0,1.0,0.508
136,138.0,1.0,0.506
137,156.0,1.0,0.503
138,157.5,1.0,0.501
139,135.5,1.0,0.498
140,115.5,1.0,0.496
141,113.0,1.0,0.493
142,150.5,1.0,0.491
143,134.0,1.0,0.488
144,118.5,1.0,0.486
145,123.0,1.0,0.483
146,136.0,1.0,0.481
147,142.0,1.0,0.479
148,126.0,1.0,0.476
149,134.5,1.0,0.474
150,130.5,1.0,0.471
151,138.0,1.0,0.469
152,111.0,1.0,0.467
153,128.5,1.0,0.464
154,140.5,1.0,0.462
155,130.0,1.0,0.46
156,140.0,1.0,0.458
157,107.5,1.0,0.455
158,143.0,1.0,0.453
159,146.5,1.0,0.451
160,146.5,1.0,0.448
161,150.5,1.0,0.446
162,104.5,1.0,0.444
163,140.0,1.0,0.442
164,107.0,1.0,0.44
165,138.0,1.0,0.437
166,131.0,1.0,0.435
167,125.0,1.0,0.433
168,98.5,1.0,0.431
169,138.0,1.0,0.429
170,128.0,1.0,0.427
171,138.5,1.0,0.424
172,122.5,1.0,0.422
173,128.0,1.0,0.42
174,143.0,1.0,0.418
175,133.0,1.0,0.416
176,131.5,1.0,0.414
177,113.0,1.0,0.412
178,121.5,1.0,0.41
179,111.5,1.0,0.408
180,135.5,1.0,0.406
181,152.0,1.0,0.404
182,134.5,1.0,0.402
183,127.5,1.0,0.4
184,134.0,1.0,0.398
185,140.0,1.0,0.396
186,141.5,1.0,0.394
187,137.5,1.0,0.392
188,143.5,1.0,0.39
189,116.0,1.0,0.388
190,117.0,1.0,0.386
191,129.0,1.0,0.384
192,136.5,1.0,0.382
193,115.5,1.0,0.38
194,132.0,1.0,0.378
195,127.5,1.0,0.376
196,152.0,1.0,0.374
197,129.0,1.0,0.373
198,159.0,1.0,0.371
199,108.0,1.0,0.369
200,131.5,1.0,0.367
201,119.0,1.0,0.365
202,143.0,1.0,0.363
203,156.0,1.0,0.361
204,140.0,1.0,0.36
205,127.0,1.0,0.358
206,113.5,1.0,0.356
207,146.0,1.0,0.354
208,108.0,1.0,0.353
209,109.0,1.0,0.351
210,116.0,1.0,0.349
211,89.0,1.0,0.347
212,122.0,1.0,0.346
213,133.0,1.0,0.344
214,142.0,1.0,0.342
215,139.0,1.0,0.34
216,131.5,1.0,0.339
217,145.0,1.0,0.337
218,121.0,1.0,0.335
219,157.5,1.0,0.334
220,150.5,1.0,0.332
221,140.0,1.0,0.33
222,108.5,1.0,0.329
223,127.0,1.0,0.327
224,113.0,1.0,0.325
225,129.5,1.0,0.324
226,128.5,1.0,0.322
227,112.5,1.0,0.321
228,115.5,1.0,0.319
229,145.0,1.0,0.317
230,147.5,1.0,0.316
231,127.5,1.0,0.314
232,122.5,1.0,0.313
233,127.5,1.0,0.311
234,140.5,1.0,0.309
235,156.0,1.0,0.308
236,153.0,1.0,0.306
237,144.5,1.0,0.305
238,131.0,1.0,0.303
239,146.0,1.0,0.302
240,141.5,1.0,0.3
241,137.5,1.0,0.299
242,114.5,1.0,0.297
243,112.5,1.0,0.296
244,119.5,1.0,0.294
245,136.5,1.0,0.293
246,157.5,1.0,0.291
247,131.5,1.0,0.29
248,125.5,1.0,0.288
249,140.0,1.0,0.287
250,138.5,1.0,0.286
251,143.5,1.0,0.284
252,141.5,1.0,0.283
253,130.0,1.0,0.281
254,124.0,1.0,0.28
255,127.0,1.0,0.279
256,154.5,1.0,0.277
257,140.0,1.0,0.276
258,132.5,1.0,0.274
259,127.0,1.0,0.273
260,147.5,1.0,0.272
261,162.0,1.0,0.27
262,118.5,1.0,0.269
263,138.5,1.0,0.268
264,148.0,1.0,0.266
265,128.5,1.0,0.265
266,146.0,1.0,0.264
267,160.5,1.0,0.262
268,128.5,1.0,0.261
269,133.0,1.0,0.26
270,127.5,1.0,0.258
271,129.5,1.0,0.257
272,134.0,1.0,0.256
273,150.5,1.0,0.255
274,140.0,1.0,0.253
275,157.5,1.0,0.252
276,133.0,1.0,0.251
277,145.5,1.0,0.249
278,123.0,1.0,0.248
279,144.5,1.0,0.247
280,138.0,1.0,0.246
281,150.0,1.0,0.245
282,124.5,1.0,0.243
283,138.5,1.0,0.242
284,131.5,1.0,0.241
285,150.5,1.0,0.24
286,160.5,1.0,0.238
287,156.0,1.0,0.237
288,140.5,1.0,0.236
289,159.0,1.0,0.235
290,137.5,1.0,0.234
291,136.5,1.0,0.233
292,151.5,1.0,0.231
293,141.0,1.0,0.23
294,143.0,1.0,0.229
295,121.0,1.0,0.228
296,137.5,1.0,0.227
297,150.5,1.0,0.226
298,139.0,1.0,0.225
299,159.0,1.0,0.223
300,147.5,1.0,0.222
301,157.5,1.0,0.221
302,162.0,1.0,0.22
303,121.5,1.0,0.219
304,119.0,1.0,0.218
305,160.5,1.0,0.217
306,146.0,1.0,0.216
307,156.0,1.0,0.215
308,156.0,1.0,0.214
309,159.0,1.0,0.212
310,147.5,1.0,0.211
311,139.0,1.0,0.21
312,159.0,1.0,0.209
313,140.0,1.0,0.208
314,154.5,1.0,0.207
315,143.0,1.0,0.206
316,137.5,1.0,0.205
317,162.0,1.0,0.204
318,146.0,1.0,0.203
319,131.5,1.0,0.202
320,143.0,1.0,0.201
321,121.0,1.0,0.2
322,156.0,1.0,0.199
323,114.5,1.0,0.198
324,156.0,1.0,0.197
325,162.0,1.0,0.196
326,156.0,1.0,0.195
327,122.0,1.0,0.194
328,140.0,1.0,0.193
329,147.5,1.0,0.192
330,126.5,1.0,0.191
331,151.5,1.0,0.19
332,141.5,1.0,0.189
333,139.0,1.0,0.188
334,154.5,1.0,0.187
335,142.5,1.0,0.187
336,140.0,1.0,0.186
337,147.5,1.0,0.185
338,137.5,1.0,0.184
339,145.0,1.0,0.183
340,159.0,1.0,0.182
341,159.0,1.0,0.181
342,140.0,1.0,0.18
343,160.5,1.0,0.179
344,149.0,1.0,0.178
345,127.5,1.0,0.177
346,130.0,1.0,0.177
347,151.5,1.0,0.176
348,146.0,1.0,0.175
349,126.5,1.0,0.174
350,143.0,1.0,0.173
351,136.0,1.0,0.172
352,137.5,1.0,0.171
353,143.0,1.0,0.17
354,126.0,1.0,0.17
355,157.5,1.0,0.169
356,129.5,1.0,0.168
357,156.0,1.0,0.167
358,140.0,1.0,0.166
359,133.5,1.0,0.165
360,143.0,1.0,0.165
361,160.5,1.0,0.164
362,140.0,1.0,0.163
363,147.5,1.0,0.162
364,123.0,1.0,0.161
365,153.0,1.0,0.16
366,150.0,1.0,0.16
367,150.5,1.0,0.159
368,143.0,1.0,0.158
369,143.5,1.0,0.157
370,149.0,1.0,0.157
371,146.0,1.0,0.156
372,157.5,1.0,0.155
373,154.5,1.0,0.154
374,157.5,1.0,0.153
375,135.0,1.0,0.153
376,140.0,1.0,0.152
377,156.0,1.0,0.151
378,157.5,1.0,0.15
379,151.5,1.0,0.15
380,154.5,1.0,0.149
381,150.0,1.0,0.148
382,149.0,1.0,0.147
383,141.5,1.0,0.147
384,156.0,1.0,0.146
385,136.0,1.0,0.145
386,146.0,1.0,0.144
387,135.0,1.0,0.144
388,147.5,1.0,0.143
389,144.5,1.0,0.142
390,144.5,1.0,0.142
391,149.0,1.0,0.141
392,140.5,1.0,0.14
393,163.5,1.0,0.139
394,153.0,1.0,0.139
395,133.0,1.0,0.138
396,141.5,1.0,0.137
397,154.5,1.0,0.137
398,157.5,1.0,0.136
399,133.0,1.0,0.135
400,154.5,1.0,0.135
401,132.0,1.0,0.134
402,150.5,1.0,0.133
403,150.5,1.0,0.133
404,144.0,1.0,0.132
405,156.0,1.0,0.131
406,156.0,1.0,0.131
407,153.0,1.0,0.13
408,147.5,1.0,0.129
409,145.0,1.0,0.129
410,159.0,1.0,0.128
411,138.5,1.0,0.127
412,142.5,1.0,0.127
413,160.5,1.0,0.126
414,153.0,1.0,0.126
415,132.0,1.0,0.125
416,149.0,1.0,0.124
417,156.0,1.0,0.124
418,154.5,1.0,0.123
419,141.5,1.0,0.122
420,156.0,1.0,0.122
421,140.0,1.0,0.121
422,144.5,1.0,0.121
423,140.5,1.0,0.12
424,156.0,1.0,0.119
425,139.0,1.0,0.119
426,138.5,1.0,0.118
427,160.5,1.0,0.118
428,147.5,1.0,0.117
429,138.5,1.0,0.116
430,134.5,1.0,0.116
431,133.0,1.0,0.115
432,143.0,1.0,0.115
433,150.5,1.0,0.114
434,139.5,1.0,0.114
435,137.5,1.0,0.113
436,154.5,1.0,0.112
437,146.0,1.0,0.112
438,159.0,1.0,0.111
439,156.0,1.0,0.111
440,149.0,1.0,0.11
441,132.0,1.0,0.11
442,146.0,1.0,0.109
443,142.0,1.0,0.109
444,140.5,1.0,0.108
445,140.0,1.0,0.107
446,143.0,1.0,0.107
447,157.5,1.0,0.106
448,146.0,1.0,0.106
449,146.0,1.0,0.105
450,134.5,1.0,0.105
451,119.0,1.0,0.104
452,151.5,1.0,0.104
453,154.5,1.0,0.103
454,139.5,1.0,0.103
455,143.0,1.0,0.102
456,141.5,1.0,0.102
457,147.5,1.0,0.101
458,154.5,1.0,0.101
459,146.0,1.0,0.1
460,147.5,1.0,0.1
461,144.5,1.0,0.099
462,153.0,1.0,0.099
463,153.0,1.0,0.098
464,149.0,1.0,0.098
465,144.5,1.0,0.097
466,163.5,1.0,0.097
467,156.0,1.0,0.096
468,139.5,1.0,0.096
469,152.0,1.0,0.095
470,153.0,1.0,0.095
471,146.5,1.0,0.094
472,154.5,1.0,0.094
473,160.5,1.0,0.093
474,157.5,1.0,0.093
475,154.5,1.0,0.092
476,140.5,1.0,0.092
477,154.5,1.0,0.092
478,134.5,1.0,0.091
479,160.5,1.0,0.091
480,144.5,1.0,0.09
481,142.0,1.0,0.09
482,160.5,1.0,0.089
483,143.5,1.0,0.089
484,153.0,1.0,0.088
485,153.0,1.0,0.088
486,150.0,1.0,0.088
487,147.5,1.0,0.087
488,157.5,1.0,0.087
489,157.5,1.0,0.086
490,136.5,1.0,0.086
491,146.0,1.0,0.085
492,159.0,1.0,0.085
493,145.5,1.0,0.084
494,136.0,1.0,0.084
495,141.5,1.0,0.084
496,157.5,1.0,0.083
497,150.5,1.0,0.083
498,146.0,1.0,0.082
499,154.5,1.0,0.082
500,193.5,1.0,0.082
501,159.0,1.0,0.081
502,144.5,1.0,0.081
503,159.0,1.0,0.08
504,146.0,1.0,0.08
505,156.0,1.0,0.08
506,144.5,1.0,0.079
507,162.0,1.0,0.079
508,144.5,1.0,0.078
509,156.0,1.0,0.078
510,156.0,1.0,0.078
511,160.5,1.0,0.077
512,141.0,1.0,0.077
513,160.5,1.0,0.076
514,146.0,1.0,0.076
515,159.0,1.0,0.076
516,147.5,1.0,0.075
517,138.5,1.0,0.075
518,156.0,1.0,0.075
519,149.0,1.0,0.074
520,154.5,1.0,0.074
521,137.5,1.0,0.073
522,140.5,1.0,0.073
523,146.0,1.0,0.073
524,156.0,1.0,0.072
525,159.0,1.0,0.072
526,120.0,1.0,0.072
527,156.0,1.0,0.071
528,151.5,1.0,0.071
529,146.0,1.0,0.071
530,144.5,1.0,0.07
531,146.0,1.0,0.07
532,140.0,1.0,0.069
533,152.0,1.0,0.069
534,133.0,1.0,0.069
535,159.0,1.0,0.068
536,152.0,1.0,0.068
537,140.0,1.0,0.068
538,156.0,1.0,0.067
539,157.5,1.0,0.067
540,140.5,1.0,0.067
541,143.5,1.0,0.066
542,141.0,1.0,0.066
543,144.5,1.0,0.066
544,156.0,1.0,0.065
545,157.5,1.0,0.065
546,152.0,1.0,0.065
547,157.5,1.0,0.064
548,137.5,1.0,0.064
549,154.5,1.0,0.064
550,145.0,1.0,0.063
551,146.0,1.0,0.063
552,146.0,1.0,0.063
553,152.0,1.0,0.063
554,154.5,1.0,0.062
555,146.5,1.0,0.062
556,156.0,1.0,0.062
557,142.0,1.0,0.061
558,129.5,1.0,0.061
559,151.5,1.0,0.061
560,159.0,1.0,0.06
561,160.5,1.0,0.06
562,137.5,1.0,0.06
563,154.5,1.0,0.059
564,159.0,1.0,0.059
565,160.5,1.0,0.059
566,146.0,1.0,0.059
567,139.5,1.0,0.058
568,149.0,1.0,0.058
569,144.5,1.0,0.058
570,153.0,1.0,0.057
571,162.0,1.0,0.057
572,145.5,1.0,0.057
573,139.5,1.0,0.057
574,150.5,1.0,0.056
575,157.5,1.0,0.056
576,154.5,1.0,0.056
577,156.0,1.0,0.055
578,147.5,1.0,0.055
579,149.0,1.0,0.055
580,143.0,1.0,0.055
581,147.5,1.0,0.054
582,148.5,1.0,0.054
583,150.5,1.0,0.054
584,160.5,1.0,0.054
585,157.5,1.0,0.053
586,159.0,1.0,0.053
587,133.0,1.0,0.053
588,142.0,1.0,0.052
589,156.0,1.0,0.052
590,157.5,1.0,0.052
591,159.0,1.0,0.052
592,163.5,1.0,0.051
593,149.0,1.0,0.051
594,156.0,1.0,0.051
595,150.5,1.0,0.051
596,142.0,1.0,0.05
597,159.0,1.0,0.05
598,137.5,1.0,0.05
599,147.5,1.0,0.05
600,147.5,1.0,0.05
601,154.5,1.0,0.05
602,160.5,1.0,0.05
603,159.0,1.0,0.05
604,134.5,1.0,0.05
605,146.0,1.0,0.05
606,147.5,1.0,0.05
607,143.0,1.0,0.05
608,156.0,1.0,0.05
609,146.0,1.0,0.05
610,144.5,1.0,0.05
611,141.5,1.0,0.05
612,156.0,1.0,0.05
613,154.5,1.0,0.05
614,159.0,1.0,0.05
615,149.0,1.0,0.05
616,145.0,1.0,0.05
617,149.0,1.0,0.05
618,159.0,1.0,0.05
619,157.5,1.0,0.05
620,141.0,1.0,0.05
621,141.5,1.0,0.05
622,150.0,1.0,0.05
623,146.0,1.0,0.05
624,146.0,1.0,0.05
625,157.5,1.0,0.05
626,153.0,1.0,0.05
627,138.5,1.0,0.05
628,152.0,1.0,0.05
629,139.5,1.0,0.05
630,154.5,1.0,0.05
631,162.0,1.0,0.05
632,146.0,1.0,0.05
633,150.5,1.0,0.05
634,156.0,1.0,0.05
635,159.0,1.0,0.05
636,150.5,1.0,0.05
637,156.0,1.0,0.05
638,159.0,1.0,0.05
639,157.5,1.0,0.05
640,146.0,1.0,0.05
641,147.5,1.0,0.05
642,156.0,1.0,0.05
643,162.0,1.0,0.05
